loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
5700,36 months,6.71,175.24,A,3 years,MORTGAGE,38900,Not Verified,small_business,17.92,0,738,78.1,Fully Paid
8700,36 months,11.83,288.26,C,3 years,RENT,51400,Verified,home_improvement,21.26,0,696,75.5,Fully Paid
7900,36 months,11.25,259.57,C,5 years,RENT,38900,Verified,debt_consolidation,13.56,0,696,8.1,Fully Paid
35800,36 months,9.61,1148.62,B,3 years,MORTGAGE,82900,Verified,credit_card,29.99,0,726,53.4,Fully Paid
16000,60 months,14.43,375.87,C,8 years,MORTGAGE,32700,Not Verified,home_improvement,17.98,1,709,74.5,Fully Paid
7000,60 months,10.45,150.28,B,2 years,MORTGAGE,138400,Not Verified,debt_consolidation,17.73,0,726,81.7,Charged Off
12600,36 months,16.62,446.85,D,,RENT,41800,Verified,debt_consolidation,20.49,1,710,26.1,Fully Paid
22100,36 months,10.98,723.32,B,1 year,MORTGAGE,120600,Not Verified,debt_consolidation,17.28,1,721,46.8,Fully Paid
6900,60 months,7.84,139.38,A,7 years,MORTGAGE,25700,Not Verified,major_purchase,19.07,1,748,33.9,Fully Paid
10100,36 months,16.89,359.54,D,10+ years,MORTGAGE,57900,Source Verified,debt_consolidation,31.98,0,675,77.2,Charged Off
20700,36 months,8.78,656.14,B,< 1 year,MORTGAGE,104900,Source Verified,debt_consolidation,5.67,1,687,17.7,Fully Paid
8000,60 months,12.72,180.88,C,10+ years,RENT,27200,Source Verified,credit_card,29.34,1,709,61.6,Charged Off
13000,36 months,10.72,423.88,B,1 year,MORTGAGE,25800,Source Verified,credit_card,16.09,0,700,54.8,Fully Paid
3400,36 months,17.09,121.37,D,10+ years,RENT,33100,Not Verified,credit_card,8.2,0,682,76.2,Fully Paid
18800,60 months,13.34,431.04,C,7 years,MORTGAGE,148500,Source Verified,debt_consolidation,4.97,0,711,47.5,Fully Paid
7000,36 months,7.34,217.23,A,10+ years,MORTGAGE,45600,Verified,major_purchase,15.13,0,743,46.4,Fully Paid
9700,36 months,14.66,334.64,C,10+ years,OWN,95000,Source Verified,debt_consolidation,14.12,1,692,44.0,Fully Paid
16000,36 months,19.36,589.41,E,10+ years,MORTGAGE,30800,Not Verified,debt_consolidation,37.38,0,682,,Charged Off
11200,36 months,6.08,341.13,A,2 years,OWN,78500,Source Verified,debt_consolidation,28.06,0,772,58.2,Fully Paid
19700,60 months,6.67,387.02,A,4 years,OWN,35200,Source Verified,credit_card,16.7,0,732,60.2,Charged Off
25800,36 months,16.43,912.54,D,3 years,RENT,64200,Not Verified,debt_consolidation,28.75,1,657,85.7,Fully Paid
10500,36 months,12.38,350.66,C,10+ years,RENT,154900,Source Verified,debt_consolidation,35.62,0,683,77.9,Fully Paid
10900,36 months,16.96,388.4,D,10+ years,RENT,107600,Not Verified,debt_consolidation,16.86,0,673,27.0,Fully Paid
19500,36 months,12.11,648.7,C,2 years,OWN,76300,Verified,debt_consolidation,14.33,0,697,52.6,Charged Off
34200,36 months,12.94,1151.35,C,10+ years,MORTGAGE,29000,Source Verified,home_improvement,11.81,0,695,69.6,Fully Paid
3500,36 months,7.72,109.23,A,9 years,RENT,57700,Verified,debt_consolidation,23.86,0,732,56.8,Fully Paid
17800,36 months,19.56,657.53,D,8 years,OWN,126300,Verified,debt_consolidation,22.4,0,682,42.7,Fully Paid
14000,36 months,10.68,456.22,B,10+ years,OWN,31500,Verified,debt_consolidation,15.22,0,708,38.0,Fully Paid
15800,36 months,17.61,568.12,D,4 years,MORTGAGE,65200,Not Verified,small_business,28.36,1,692,69.2,Fully Paid
7900,36 months,6.28,241.34,A,1 year,RENT,69400,Not Verified,car,12.75,0,747,7.2,Fully Paid
10300,60 months,17.1,256.54,D,,RENT,75900,Source Verified,credit_card,26.34,0,680,84.4,Fully Paid
26000,60 months,8.7,535.94,B,6 years,MORTGAGE,43500,Source Verified,debt_consolidation,12.59,1,718,92.9,Fully Paid
6100,60 months,12.23,136.4,C,10+ years,RENT,137700,Source Verified,debt_consolidation,46.22,0,685,36.0,Charged Off
21000,60 months,11.37,460.48,C,4 years,RENT,36900,Source Verified,debt_consolidation,28.44,0,706,74.6,Fully Paid
27700,36 months,12.8,930.66,C,< 1 year,MORTGAGE,70900,Not Verified,debt_consolidation,20.26,0,705,62.3,Fully Paid
21500,36 months,13.35,728.05,C,8 years,OWN,122400,Verified,home_improvement,19.54,0,701,67.4,Fully Paid
40000,36 months,14.56,1378.01,C,2 years,RENT,26700,Verified,debt_consolidation,18.99,1,700,59.3,Charged Off
5800,36 months,8.35,182.69,A,< 1 year,OWN,42100,Verified,home_improvement,13.91,0,763,35.4,Fully Paid
28300,36 months,6.92,872.79,A,10+ years,MORTGAGE,54900,Source Verified,small_business,18.94,0,746,46.2,Fully Paid
9800,36 months,11.39,322.65,B,2 years,RENT,89100,Verified,debt_consolidation,10.89,0,727,26.9,Fully Paid
14100,60 months,13.54,324.73,C,10+ years,MORTGAGE,105800,Not Verified,major_purchase,19.4,0,703,51.9,Fully Paid
6400,36 months,17.13,228.59,C,4 years,RENT,41500,Source Verified,credit_card,10.07,0,704,91.5,Fully Paid
20200,36 months,11.32,664.39,B,3 years,RENT,77100,Not Verified,medical,17.3,1,701,32.0,Fully Paid
10100,36 months,9.41,323.11,B,10+ years,OTHER,158500,Source Verified,debt_consolidation,25.58,1,732,49.5,Charged Off
12100,60 months,13.08,275.81,C,10+ years,RENT,63900,Not Verified,debt_consolidation,18.31,0,690,47.3,Fully Paid
17500,60 months,11.42,384.17,B,2 years,MORTGAGE,65500,Not Verified,debt_consolidation,23.6,0,700,79.9,Fully Paid
8100,36 months,21.4,306.83,E,5 years,RENT,115400,Source Verified,debt_consolidation,12.25,1,665,42.9,Fully Paid
35400,36 months,9.52,1134.3,B,8 years,MORTGAGE,51000,Verified,debt_consolidation,9.55,0,717,58.1,Charged Off
9300,36 months,11.08,304.82,B,4 years,RENT,39300,Verified,home_improvement,15.46,0,705,57.4,Fully Paid
17700,36 months,14.5,609.25,C,10+ years,RENT,78000,Verified,small_business,8.27,0,712,65.1,Fully Paid
12500,36 months,6.02,380.39,A,6 years,RENT,43500,Verified,debt_consolidation,17.21,0,738,16.2,Fully Paid
12700,60 months,10.72,274.36,B,1 year,RENT,29800,Not Verified,debt_consolidation,11.1,0,706,80.5,Fully Paid
24900,36 months,11.48,820.87,B,4 years,OWN,57500,Not Verified,debt_consolidation,29.76,0,714,48.8,Fully Paid
9300,60 months,7.64,186.97,A,10+ years,RENT,38900,Verified,credit_card,16.09,0,738,53.5,Fully Paid
16100,36 months,6.98,496.97,A,7 years,MORTGAGE,60400,Source Verified,debt_consolidation,21.82,1,717,86.6,Fully Paid
8900,36 months,12.64,298.34,C,2 years,MORTGAGE,62800,Verified,debt_consolidation,22.08,1,722,72.6,Fully Paid
37000,36 months,15.98,1300.44,D,5 years,RENT,75900,Not Verified,debt_consolidation,21.82,0,682,90.7,Fully Paid
10700,36 months,10.98,350.2,B,10+ years,MORTGAGE,43400,Not Verified,debt_consolidation,9.08,1,722,28.9,Fully Paid
18400,36 months,8.67,582.29,B,5 years,MORTGAGE,143500,Verified,debt_consolidation,29.03,1,710,80.3,Fully Paid
12600,36 months,12.44,421.15,C,7 years,MORTGAGE,64600,Source Verified,debt_consolidation,13.06,1,707,60.2,Fully Paid
12900,60 months,13.82,298.96,C,10+ years,RENT,51200,Source Verified,debt_consolidation,19.42,0,671,69.0,Fully Paid
10500,36 months,17.64,377.71,D,9 years,OWN,137100,Verified,small_business,14.65,0,651,63.9,Charged Off
14000,36 months,20.29,522.36,E,2 years,RENT,48600,Source Verified,small_business,19.23,0,667,60.4,Fully Paid
40000,36 months,10.65,1302.93,B,10+ years,RENT,83100,Verified,car,8.78,2,720,28.4,Charged Off
6200,60 months,12.47,139.39,C,4 years,RENT,32600,Not Verified,debt_consolidation,16.97,1,714,31.1,Fully Paid
10200,36 months,6.58,312.99,A,5 years,MORTGAGE,40900,Verified,home_improvement,24.19,0,741,29.8,Fully Paid
