request_id,loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status,timestamp
REQ-00000,2900,60 months,11.61,63.21,B,2 years,MORTGAGE,58652.0,Verified,debt_consolidation,19.08,0,711,36.77,Fully Paid,2026-03-14 10:00:00
REQ-00001,11900,36 months,26.76,456.07,F,< 1 year,RENT,25350.0,Not Verified,credit_card,19.18,1,652,44.9,Fully Paid,2026-05-08 16:00:00
REQ-00002,7600,36 months,14.92,250.33,C,3 years,RENT,98827.0,Verified,debt_consolidation,38.72,0,708,88.37,Fully Paid,2026-04-26 12:00:00
REQ-00003,15000,60 months,25.49,422.77,E,< 1 year,RENT,109560.0,Not Verified,credit_card,16.87,1,640,80.03,Fully Paid,2026-04-12 17:00:00
REQ-00004,9500,36 months,9.63,293.9,B,,RENT,77579.0,Not Verified,debt_consolidation,29.53,0,747,80.93,Charged Off,2026-04-10 22:00:00
REQ-00005,4700,36 months,11.44,143.92,A,3 years,MORTGAGE,59533.0,Verified,debt_consolidation,18.58,0,745,39.67,Fully Paid,2026-05-13 14:00:00
REQ-00006,5400,60 months,16.31,130.77,D,10+ years,MORTGAGE,51112.0,Verified,debt_consolidation,14.25,0,667,44.67,Fully Paid,2026-03-13 04:00:00
REQ-00007,11600,36 months,18.46,399.06,D,10+ years,MORTGAGE,30083.0,Not Verified,credit_card,4.31,1,713,42.73,Fully Paid,2026-04-29 23:00:00
REQ-00008,9000,36 months,18.62,323.66,E,10+ years,MORTGAGE,11500.0,Not Verified,debt_consolidation,14.39,0,706,65.93,Fully Paid,2026-03-20 09:00:00
REQ-00009,11100,60 months,28.85,347.96,G,10+ years,RENT,64625.0,Not Verified,credit_card,5.42,0,679,67.07,Fully Paid,2026-03-14 16:00:00
REQ-00010,18900,36 months,18.85,663.07,D,10+ years,OWN,110688.0,Source Verified,home_improvement,26.55,0,701,55.9,Charged Off,2026-04-15 14:00:00
REQ-00011,22900,36 months,34.33,957.52,G,8 years,MORTGAGE,71688.0,Not Verified,credit_card,28.12,0,654,70.63,Fully Paid,2026-05-21 12:00:00
REQ-00012,10300,60 months,17.1,234.88,C,10+ years,MORTGAGE,71500.0,Not Verified,medical,27.94,0,701,63.43,Fully Paid,2026-04-27 07:00:00
REQ-00013,13600,60 months,13.68,283.5,A,8 years,RENT,26162.0,Not Verified,credit_card,27.82,0,758,50.4,Fully Paid,2026-05-09 03:00:00
REQ-00014,11500,60 months,11.81,232.13,B,2 years,MORTGAGE,34583.0,Not Verified,debt_consolidation,8.74,0,739,60.13,Fully Paid,2026-04-30 10:00:00
REQ-00015,26600,36 months,16.83,887.7,B,5 years,RENT,67112.0,Source Verified,major_purchase,23.47,0,713,72.7,Fully Paid,2026-05-07 05:00:00
REQ-00016,23800,36 months,15.23,793.12,B,10+ years,MORTGAGE,74462.0,Source Verified,car,12.88,0,731,43.7,Fully Paid,2026-04-16 17:00:00
REQ-00017,15200,36 months,16.91,537.47,D,1 year,OWN,68052.0,Not Verified,major_purchase,13.68,0,673,55.97,Fully Paid,2026-03-10 12:00:00
REQ-00018,15200,36 months,13.86,482.37,C,4 years,RENT,34438.0,Not Verified,debt_consolidation,13.97,0,699,74.07,Charged Off,2026-05-15 04:00:00
REQ-00019,21300,36 months,15.26,715.22,C,3 years,RENT,158742.0,Source Verified,debt_consolidation,16.66,0,695,85.63,Fully Paid,2026-04-11 05:00:00
REQ-00020,12700,60 months,19.11,309.58,D,2 years,MORTGAGE,53288.0,Verified,credit_card,12.61,1,663,58.9,Fully Paid,2026-04-15 10:00:00
REQ-00021,16900,36 months,13.97,561.08,B,10+ years,MORTGAGE,104500.0,Source Verified,major_purchase,14.72,0,684,68.27,Fully Paid,2026-03-30 22:00:00
REQ-00022,10900,36 months,9.78,345.5,B,10+ years,MORTGAGE,46192.0,Not Verified,debt_consolidation,4.64,1,726,61.53,Fully Paid,2026-03-18 16:00:00
REQ-00023,11900,36 months,12.22,365.92,A,9 years,MORTGAGE,31527.0,Not Verified,credit_card,16.12,0,744,63.33,Fully Paid,2026-05-19 09:00:00
REQ-00024,7500,36 months,16.78,250.11,C,10+ years,MORTGAGE,84175.0,Not Verified,medical,20.75,0,725,84.1,Fully Paid,2026-05-06 14:00:00
REQ-00025,5800,36 months,10.02,177.82,B,9 years,RENT,50652.0,Not Verified,credit_card,18.32,0,728,78.47,Fully Paid,2026-04-24 09:00:00
REQ-00026,7200,36 months,15.41,244.02,C,9 years,RENT,50600.0,Source Verified,debt_consolidation,27.28,0,687,55.17,Fully Paid,2026-03-30 19:00:00
REQ-00027,7400,36 months,18.64,253.42,C,4 years,MORTGAGE,39081.0,Source Verified,debt_consolidation,12.87,0,684,84.7,Fully Paid,2026-05-09 05:00:00
REQ-00028,7300,60 months,12.66,153.89,B,9 years,RENT,66062.0,Verified,debt_consolidation,9.47,0,702,63.3,Fully Paid,2026-04-14 13:00:00
REQ-00029,7800,36 months,26.06,304.22,F,10+ years,RENT,58408.0,Source Verified,car,32.47,0,653,60.33,Charged Off,2026-04-12 06:00:00
REQ-00030,9300,60 months,19.94,233.33,D,8 years,OWN,65933.0,Not Verified,debt_consolidation,27.06,1,701,94.33,Fully Paid,2026-04-11 03:00:00
REQ-00031,11700,36 months,12.8,387.49,C,5 years,MORTGAGE,44083.0,Not Verified,debt_consolidation,14.97,0,728,84.43,Fully Paid,2026-03-17 21:00:00
REQ-00032,13500,36 months,12.54,448.65,C,10+ years,MORTGAGE,113290.0,Verified,debt_consolidation,19.49,1,716,29.87,Fully Paid,2026-03-12 22:00:00
REQ-00033,27900,36 months,21.64,1017.63,F,4 years,MORTGAGE,136325.0,Not Verified,debt_consolidation,14.12,1,670,31.1,Fully Paid,2026-04-13 18:00:00
REQ-00034,9200,60 months,22.93,233.27,D,10+ years,RENT,194750.0,Verified,credit_card,14.98,0,684,81.27,Charged Off,2026-05-11 16:00:00
REQ-00035,8000,36 months,12.33,266.98,C,5 years,MORTGAGE,39600.0,Not Verified,debt_consolidation,22.12,0,705,58.8,Fully Paid,2026-03-08 16:00:00
REQ-00036,13400,36 months,35.0,568.85,G,2 years,RENT,78771.0,Not Verified,small_business,11.93,0,648,30.17,Fully Paid,2026-05-16 14:00:00
REQ-00037,12600,60 months,11.05,246.83,B,7 years,MORTGAGE,28356.0,Source Verified,home_improvement,9.97,1,721,67.8,Fully Paid,2026-05-05 01:00:00
REQ-00038,16800,60 months,15.86,394.05,D,8 years,MORTGAGE,105281.0,Verified,debt_consolidation,12.2,0,678,43.4,Fully Paid,2026-03-24 23:00:00
REQ-00039,10200,36 months,10.4,314.48,A,10+ years,RENT,27590.0,Source Verified,major_purchase,30.42,0,760,71.27,Fully Paid,2026-04-21 09:00:00
