loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
23400,60 months,15.17,558.77,C,10+ years,MORTGAGE,35000,Not Verified,debt_consolidation,1.21,0,698,75.5,Fully Paid
4400,36 months,16.34,155.43,C,10+ years,MORTGAGE,67700,Not Verified,credit_card,22.27,0,696,62.9,Charged Off
8600,36 months,12.83,289.06,C,< 1 year,MORTGAGE,52200,Verified,debt_consolidation,11.05,0,720,42.7,Fully Paid
7300,36 months,21.02,275.1,E,10+ years,MORTGAGE,47100,Not Verified,home_improvement,15.21,0,669,24.0,Fully Paid
9500,36 months,7.69,296.34,A,8 years,MORTGAGE,32400,Verified,small_business,12.98,1,749,39.2,Fully Paid
6700,36 months,12.94,225.56,C,2 years,MORTGAGE,98800,Source Verified,debt_consolidation,18.3,0,697,53.0,Fully Paid
4700,60 months,16.76,116.2,D,< 1 year,RENT,40700,Verified,home_improvement,6.18,1,669,60.3,Fully Paid
40000,36 months,6.91,1233.44,A,9 years,MORTGAGE,55000,Verified,debt_consolidation,18.26,0,740,38.1,Fully Paid
13000,36 months,12.54,435.15,C,2 years,RENT,76400,Source Verified,debt_consolidation,11.88,0,700,52.5,Charged Off
5100,60 months,9.02,105.92,B,2 years,MORTGAGE,86800,Source Verified,debt_consolidation,6.5,0,712,64.8,Fully Paid
22500,60 months,12.89,510.68,C,10+ years,RENT,88500,Source Verified,small_business,14.51,1,703,15.0,Charged Off
10500,60 months,5.0,198.15,A,4 years,RENT,32100,Verified,car,24.99,0,750,49.1,Fully Paid
16500,36 months,13.08,556.59,C,3 years,MORTGAGE,45000,Not Verified,major_purchase,8.53,1,696,61.9,Fully Paid
6500,60 months,10.84,140.81,B,10+ years,MORTGAGE,60200,Source Verified,debt_consolidation,18.05,0,716,31.4,Charged Off
13100,36 months,6.23,399.89,A,10+ years,MORTGAGE,33800,Verified,debt_consolidation,14.01,0,732,44.0,Fully Paid
5300,36 months,15.04,183.83,C,3 years,RENT,54800,Not Verified,debt_consolidation,8.39,0,711,70.1,Fully Paid
11700,36 months,10.52,380.39,B,1 year,RENT,231500,Not Verified,debt_consolidation,30.75,0,724,56.2,Fully Paid
7200,36 months,12.66,241.42,D,5 years,MORTGAGE,83700,Verified,debt_consolidation,23.5,0,693,83.4,Charged Off
16000,36 months,6.96,493.74,A,7 years,MORTGAGE,117100,Verified,credit_card,7.21,0,751,53.8,Fully Paid
7900,36 months,16.39,279.26,D,3 years,MORTGAGE,34300,Source Verified,credit_card,40.46,0,690,52.1,Fully Paid
8600,60 months,18.18,219.23,D,10+ years,OWN,99500,Source Verified,credit_card,24.14,0,687,19.5,Fully Paid
17500,36 months,24.65,692.56,G,10+ years,MORTGAGE,144600,Verified,debt_consolidation,14.56,0,641,57.4,Fully Paid
10900,60 months,20.21,290.06,E,10+ years,MORTGAGE,25600,Source Verified,debt_consolidation,5.34,1,644,64.6,Fully Paid
16100,36 months,15.93,565.47,D,8 years,OWN,120700,Verified,debt_consolidation,13.2,0,678,38.0,Fully Paid
40000,36 months,12.55,1339.1,B,10+ years,RENT,82800,Not Verified,debt_consolidation,17.04,0,723,49.0,Charged Off
16300,36 months,11.43,536.97,B,10+ years,OWN,56900,Verified,debt_consolidation,44.58,1,726,49.6,Fully Paid
21500,36 months,18.07,778.03,D,7 years,RENT,72700,Not Verified,major_purchase,9.32,0,682,62.0,Fully Paid
15700,36 months,13.68,534.15,C,10+ years,MORTGAGE,150000,Source Verified,debt_consolidation,24.45,0,709,43.2,Fully Paid
4100,36 months,17.88,147.98,E,5 years,MORTGAGE,45600,Verified,debt_consolidation,9.08,0,671,64.4,Fully Paid
8800,60 months,15.51,211.71,D,,MORTGAGE,48300,Not Verified,home_improvement,10.78,0,677,32.1,Fully Paid
11100,60 months,21.1,300.92,E,2 years,RENT,62700,Not Verified,debt_consolidation,22.78,0,669,64.2,Fully Paid
15700,60 months,10.52,337.61,B,10+ years,MORTGAGE,147200,Not Verified,car,20.97,0,712,56.3,Fully Paid
14300,36 months,19.01,524.25,E,5 years,MORTGAGE,108200,Verified,debt_consolidation,15.41,2,671,43.3,Fully Paid
11400,36 months,6.7,350.44,A,10+ years,MORTGAGE,16500,Not Verified,debt_consolidation,17.4,0,750,38.5,Fully Paid
6500,60 months,19.64,170.91,D,10+ years,MORTGAGE,63000,Not Verified,home_improvement,11.66,1,700,67.7,Charged Off
5200,36 months,11.98,172.66,C,1 year,RENT,89600,Not Verified,debt_consolidation,16.46,0,704,29.8,Fully Paid
24500,60 months,6.95,484.55,A,1 year,RENT,48200,Verified,credit_card,11.16,1,748,31.1,Fully Paid
5800,36 months,14.77,200.41,C,1 year,MORTGAGE,114100,Verified,credit_card,10.3,0,720,82.6,Charged Off
8500,36 months,11.8,281.51,C,10+ years,MORTGAGE,69700,Verified,debt_consolidation,29.43,0,688,57.7,Fully Paid
16500,36 months,15.18,573.43,C,3 years,MORTGAGE,79900,Not Verified,debt_consolidation,34.73,0,701,53.7,Charged Off
12100,36 months,28.07,500.96,F,7 years,RENT,31700,Not Verified,small_business,12.15,0,653,35.4,Fully Paid
35200,60 months,7.82,710.7,A,9 years,RENT,43900,Not Verified,home_improvement,12.16,1,741,38.3,Fully Paid
13700,60 months,21.14,371.71,E,10+ years,RENT,48200,Not Verified,debt_consolidation,14.79,0,666,29.4,Fully Paid
18600,36 months,10.49,604.46,B,10+ years,MORTGAGE,75100,Not Verified,debt_consolidation,30.56,1,726,49.9,Fully Paid
14400,36 months,16.16,507.4,D,1 year,MORTGAGE,30500,Not Verified,credit_card,22.5,0,701,31.3,Charged Off
10500,60 months,7.39,209.85,A,3 years,MORTGAGE,55000,Verified,credit_card,19.77,0,756,75.1,Charged Off
18900,36 months,12.51,632.36,C,10+ years,MORTGAGE,26900,Verified,small_business,13.12,0,707,69.5,Charged Off
25100,60 months,14.86,595.28,D,3 years,MORTGAGE,85200,Verified,credit_card,26.35,0,670,,Charged Off
16400,36 months,19.35,604.06,E,1 year,MORTGAGE,104600,Verified,credit_card,23.29,2,677,27.3,Fully Paid
15300,36 months,22.95,591.86,F,10+ years,MORTGAGE,72600,Not Verified,credit_card,15.84,0,658,73.4,Charged Off
10600,60 months,14.93,251.78,C,9 years,MORTGAGE,76000,Verified,debt_consolidation,13.74,0,677,50.7,Charged Off
12300,60 months,6.5,240.66,A,10+ years,RENT,49800,Not Verified,debt_consolidation,9.79,0,736,23.8,Fully Paid
8800,36 months,15.43,306.91,D,10+ years,MORTGAGE,80200,Source Verified,car,21.02,0,707,50.7,Fully Paid
7300,60 months,14.03,169.97,D,7 years,RENT,36000,Not Verified,debt_consolidation,17.95,0,698,39.9,Fully Paid
15100,60 months,10.87,327.33,B,9 years,RENT,57000,Source Verified,credit_card,24.12,0,721,70.5,Fully Paid
9200,36 months,16.13,324.04,D,2 years,OWN,69600,Source Verified,debt_consolidation,17.76,1,682,81.7,Charged Off
17000,36 months,7.96,532.4,A,9 years,MORTGAGE,268500,Not Verified,debt_consolidation,16.34,0,711,42.4,Fully Paid
7100,36 months,18.48,258.39,D,10+ years,MORTGAGE,63400,Source Verified,major_purchase,21.12,0,684,58.2,Charged Off
10300,60 months,7.33,205.56,A,4 years,RENT,24300,Not Verified,home_improvement,14.8,1,728,21.9,Fully Paid
12800,36 months,14.04,437.72,C,9 years,OWN,77600,Not Verified,debt_consolidation,24.1,0,689,45.5,Charged Off
14900,60 months,7.03,295.25,A,8 years,MORTGAGE,58100,Source Verified,major_purchase,17.77,0,723,32.5,Fully Paid
14000,36 months,20.48,523.72,E,3 years,RENT,140000,Source Verified,debt_consolidation,16.59,0,674,83.2,Fully Paid
15800,36 months,12.68,529.93,C,< 1 year,MORTGAGE,179200,Source Verified,car,27.12,0,686,20.8,Fully Paid
16800,60 months,14.36,394.05,D,8 years,MORTGAGE,112300,Verified,debt_consolidation,12.2,0,678,38.4,Fully Paid
7400,60 months,17.65,186.51,D,,MORTGAGE,68500,Not Verified,credit_card,12.53,0,685,57.3,Charged Off
10600,36 months,14.08,362.69,D,10+ years,MORTGAGE,125000,Not Verified,credit_card,21.39,0,708,47.2,Charged Off
6600,60 months,12.45,148.32,C,7 years,RENT,12800,Not Verified,major_purchase,19.63,0,719,59.9,Fully Paid
13200,36 months,15.35,459.85,D,4 years,RENT,67700,Verified,major_purchase,37.52,0,679,67.1,Charged Off
12300,36 months,11.17,403.68,B,9 years,RENT,48400,Source Verified,other,8.23,0,725,58.8,Fully Paid
7100,36 months,14.76,245.29,C,10+ years,RENT,50900,Source Verified,debt_consolidation,23.29,2,694,80.3,Fully Paid
16000,60 months,19.38,418.4,E,10+ years,RENT,168500,Source Verified,car,26.09,0,679,35.0,Fully Paid
9000,36 months,17.62,323.66,D,10+ years,MORTGAGE,12000,Not Verified,debt_consolidation,14.39,0,706,62.6,Fully Paid
16500,36 months,15.03,572.22,D,1 year,RENT,187100,Not Verified,debt_consolidation,6.42,0,683,32.2,Fully Paid
6900,36 months,13.65,234.65,D,4 years,MORTGAGE,21600,Not Verified,debt_consolidation,18.01,0,672,42.4,Fully Paid
10800,36 months,7.24,334.66,A,3 years,MORTGAGE,70300,Verified,credit_card,5.38,0,772,59.2,Fully Paid
7700,36 months,13.64,261.82,C,10+ years,RENT,78800,Not Verified,debt_consolidation,20.11,0,700,60.1,Fully Paid
13200,60 months,9.98,280.33,B,10+ years,RENT,64100,Source Verified,debt_consolidation,19.46,0,704,33.6,Fully Paid
6000,36 months,13.64,204.02,C,10+ years,OWN,37600,Not Verified,medical,21.8,0,712,89.5,Charged Off
21600,36 months,9.58,692.72,B,7 years,MORTGAGE,41500,Not Verified,debt_consolidation,11.16,1,686,89.8,Fully Paid
13400,36 months,12.01,445.14,B,9 years,MORTGAGE,74400,Source Verified,debt_consolidation,10.64,1,703,62.1,Fully Paid
12300,60 months,15.09,293.2,C,10+ years,MORTGAGE,146600,Not Verified,debt_consolidation,10.51,0,712,37.2,Fully Paid
13200,60 months,22.11,365.4,E,6 years,MORTGAGE,144300,Source Verified,small_business,11.69,0,675,79.7,Charged Off
6600,36 months,13.27,223.24,C,10+ years,OWN,36900,Source Verified,debt_consolidation,21.55,1,696,66.8,Fully Paid
14900,36 months,7.41,462.87,A,7 years,RENT,89500,Not Verified,credit_card,6.63,1,741,43.9,Fully Paid
24700,60 months,20.57,662.26,D,10+ years,MORTGAGE,71200,Source Verified,debt_consolidation,11.15,0,675,87.9,Fully Paid
9200,36 months,11.54,303.55,C,< 1 year,MORTGAGE,58300,Source Verified,debt_consolidation,21.89,0,681,40.1,Charged Off
9800,36 months,8.22,308.09,A,,RENT,69200,Not Verified,home_improvement,7.04,0,752,50.7,Fully Paid
7900,36 months,20.52,295.69,E,9 years,RENT,91800,Source Verified,debt_consolidation,23.82,0,653,28.0,Fully Paid
6900,36 months,14.69,238.14,C,1 year,OWN,52300,Source Verified,debt_consolidation,14.69,0,691,47.0,Fully Paid
6700,36 months,6.89,206.54,A,3 years,RENT,21200,Verified,debt_consolidation,12.91,0,755,88.3,Fully Paid
9900,36 months,10.07,319.77,B,5 years,RENT,25200,Verified,debt_consolidation,6.36,1,714,93.3,Fully Paid
13900,36 months,10.0,448.51,B,10+ years,RENT,147900,Not Verified,credit_card,14.46,1,705,33.0,Fully Paid
14500,60 months,12.55,326.59,C,3 years,MORTGAGE,24200,Verified,debt_consolidation,12.21,1,701,54.7,Fully Paid
3500,60 months,6.43,68.37,A,1 year,MORTGAGE,192200,Verified,debt_consolidation,28.55,0,749,48.1,Fully Paid
10000,36 months,10.22,323.71,B,10+ years,MORTGAGE,49500,Not Verified,major_purchase,15.79,0,718,59.5,Fully Paid
17300,36 months,7.65,539.33,A,,OTHER,36900,Verified,credit_card,13.73,0,772,71.3,Fully Paid
12900,60 months,13.56,297.23,C,10+ years,RENT,288200,Verified,debt_consolidation,13.69,0,696,37.5,Charged Off
10100,36 months,18.43,367.32,D,10+ years,MORTGAGE,28000,Verified,debt_consolidation,12.33,0,691,45.6,Charged Off
11800,36 months,12.33,393.79,C,,MORTGAGE,28800,Source Verified,debt_consolidation,22.29,0,686,13.1,Fully Paid
5300,36 months,7.99,166.06,A,5 years,RENT,35200,Not Verified,credit_card,20.94,2,740,64.6,Charged Off
19000,36 months,12.32,633.98,C,3 years,MORTGAGE,155300,Not Verified,debt_consolidation,22.49,0,715,77.6,Fully Paid
